run_id,source,image_name,wavelet,levels,y_thresh,c_thresh,y_quant,c_quant,chromasub,psnr_rgb,ssim_rgb,psnr_grey,ssim_grey,psnr_r,psnr_g,psnr_b,ssim_r,ssim_g,ssim_b,mae_rgb,max_abs_error,compression_ratio,bits_per_pixel,job_size_bytes,runtime_seconds,y_total_values,cb_total_values,cr_total_values,y_encoded_count,cb_encoded_count,cr_encoded_count
sweep_in_memory_IMG_5138_20260319_211855_346614_d0717a2b,sweep_in_memory_IMG_5138,IMG_5138.tiff,bior4.4,3,0.0,0.0,4,4,04:02:00,14.98676437859922,0.18442811450958918,24.83524221910755,0.46182712125659564,16.815247611838306,23.65095583493872,11.547536130850343,0.11906388059869695,0.390747512176931,0.04347295075313961,30.675795138014053,255,1.0116457048919902,23.72414861006131,36157880,26.58763537499999,12291904,3097936,3097936,11995055,3064702,3019139
sweep_in_memory_IMG_5138_20260319_211855_507886_1578e454,sweep_in_memory_IMG_5138,IMG_5138.tiff,bior4.4,3,0.0,0.0,5,5,04:02:00,19.601510689265194,0.22839231460756024,20.5158043378241,0.25917001909335347,20.02958244667044,20.19593507335084,18.73157101132634,0.23297002751558543,0.25583817320642216,0.19636874310067312,20.850466303741147,245,1.0116457048919902,23.72414861006131,36157880,26.739839707999636,12291904,3097936,3097936,11995055,3064702,3019139
sweep_in_memory_IMG_5138_20260319_211855_504482_a82fe79d,sweep_in_memory_IMG_5138,IMG_5138.tiff,bior4.4,3,0.0,0.0,6,6,04:02:00,25.419760878854145,0.5129692317813879,32.90679389407828,0.808155570302934,26.931103151683192,30.74679627173102,22.40813381213815,0.4971009263312959,0.754165636026934,0.28764113298593363,9.610818068546862,188,1.0116457048919902,23.72414861006131,36157880,26.709149041000273,12291904,3097936,3097936,11995055,3064702,3019139
sweep_in_memory_IMG_5138_20260319_211856_777055_0511abb0,sweep_in_memory_IMG_5138,IMG_5138.tiff,bior4.4,3,0.0,0.0,5,5,04:02:02,18.997657768604,0.20159181230497328,20.80203465914543,0.2626345169284904,18.481376937788227,18.45723218445848,20.29797501487184,0.1867650435957077,0.1918986291227376,0.22611176419647458,21.285981712000645,250,0.7598549412867679,31.58554579239103,48139404,28.009790999999495,12291904,6167296,6167296,11995055,6088817,5985786
sweep_in_memory_IMG_5138_20260319_211856_875222_c5ee89a8,sweep_in_memory_IMG_5138,IMG_5138.tiff,bior4.4,3,0.0,0.0,4,4,04:02:02,16.7582393031708,0.1336893023403019,24.633885502605914,0.4729044343203856,18.495231126363734,19.064461677038153,14.34862887192729,0.15805120939264805,0.16390739124416112,0.07910930638409656,28.278655456524174,255,0.7598549728557077,31.585544480137735,48139402,28.15147274999981,12291904,6167296,6167296,11995055,6088816,5985786
sweep_in_memory_IMG_5138_20260319_211857_509772_6058dee7,sweep_in_memory_IMG_5138,IMG_5138.tiff,bior4.4,3,0.0,0.0,6,6,04:02:02,28.174685478499853,0.6288302831476299,33.052657954862205,0.8347799472075583,29.795798830000248,32.32921876537564,25.325116373136506,0.6758601101988828,0.8122042728299592,0.39842646641404766,6.990941078077322,193,0.7598549412867679,31.58554579239103,48139404,28.717282624999825,12291904,6167296,6167296,11995055,6088817,5985786
sweep_in_memory_IMG_5138_20260319_211859_626482_822998c3,sweep_in_memory_IMG_5138,IMG_5138.tiff,bior4.4,3,0.0,0.0,4,4,04:04:04,15.76110799693284,0.21176996785549287,25.326589302439512,0.5583741257811238,16.032867942812384,24.865683596079702,12.888107904303148,0.10263062965770073,0.47399362784337123,0.058685646065406674,28.625596555816255,255,0.5085431128452425,47.19449037330982,71928934,30.90534820799985,12291904,12291904,12291904,11995055,12095949,11873419
sweep_in_memory_IMG_5138_20260319_211859_804380_b1beca1c,sweep_in_memory_IMG_5138,IMG_5138.tiff,bior4.4,3,0.0,0.0,7,7,04:04:04,32.63692197833814,0.7855566919307245,36.13273975563351,0.896487020330702,31.186088265143344,36.723662474317194,31.797852869085702,0.7092373352348105,0.9233842217921541,0.7240485187652093,4.253818192336091,186,0.5085431128452425,47.19449037330982,71928934,30.987504042000182,12291904,12291904,12291904,11995055,12095949,11873419
sweep_in_memory_IMG_5138_20260319_211859_900090_4f7c42f5,sweep_in_memory_IMG_5138,IMG_5138.tiff,bior4.4,3,0.0,0.0,5,5,04:04:04,18.463133075435948,0.25974444378995437,20.601559807686606,0.2639805416125045,24.460444520055333,19.494274383485944,15.540565777630624,0.42158314215521125,0.23092619275328663,0.12672399646136528,22.231319855617144,240,0.5085431128452425,47.19449037330982,71928934,31.135187959000177,12291904,12291904,12291904,11995055,12095949,11873419
sweep_in_memory_IMG_5138_20260319_211859_907822_d149f2b2,sweep_in_memory_IMG_5138,IMG_5138.tiff,bior4.4,3,0.0,0.0,6,6,04:04:04,25.61984897152778,0.47913519060973925,32.47442525857079,0.782100320234306,23.3855186703906,30.33695555343892,25.66468060272229,0.33415118444754754,0.6907505609761766,0.4125038264054937,9.714473011105163,190,0.5085431128452425,47.19449037330982,71928934,31.12504304200047,12291904,12291904,12291904,11995055,12095949,11873419
sweep_in_memory_IMG_5138_20260319_211908_945688_baadb563,sweep_in_memory_IMG_5138,IMG_5138.tiff,bior4.4,3,0.0,0.0,7,7,04:02:00,31.882087672935498,0.7630917790185802,35.9424670731818,0.8709240162518733,29.716393680719353,33.33933536253055,33.830331286864094,0.6431743395253671,0.7903852358267693,0.855715761703604,4.718177939578609,187,1.0116457048919902,23.72414861006131,36157880,13.206993167000292,12291904,3097936,3097936,11995055,3064702,3019139
